person_id,meet_id,squat1_kg,squat2_kg,squat3_kg,best3_squat_kg,bench1_kg,bench2_kg,bench3_kg,best3_bench_kg,deadlift1_kg,deadlift2_kg,deadlift3_kg,best3_bench_kg,total_kg
1,1,,,,,185.0,195.0,-202.5,195.0,,,,195.0,195.0
3506,1,210.0,220.0,225.0,225.0,130.0,140.0,142.5,142.5,230.0,240.0,250.0,142.5,617.5
3509,1,245.0,260.0,267.5,267.5,120.0,125.0,130.0,130.0,240.0,252.5,262.5,130.0,660.0
3516,1,190.0,200.0,-207.5,200.0,72.5,77.5,-80.0,77.5,180.0,192.5,-205.0,77.5,470.0
3517,1,130.0,-142.5,142.5,142.5,57.5,-65.0,65.0,65.0,147.5,157.5,162.5,65.0,370.0
3518,1,100.0,-110.0,110.0,110.0,67.5,-70.0,-70.0,67.5,120.0,127.5,-132.5,67.5,305.0
3519,1,150.0,162.5,170.0,170.0,87.5,95.0,100.0,100.0,180.0,192.5,202.5,100.0,472.5
3519,1,,,,,87.5,95.0,100.0,100.0,,,,100.0,100.0
3520,1,190.0,-202.5,-202.5,190.0,90.0,-92.5,-92.5,90.0,170.0,180.0,-187.5,90.0,460.0
3521,1,105.0,115.0,-120.0,115.0,57.5,-62.5,-62.5,57.5,127.5,137.5,142.5,57.5,315.0
3522,1,110.0,120.0,-125.0,120.0,55.0,57.5,60.0,60.0,130.0,-142.5,142.5,60.0,322.5
3523,1,105.0,-112.5,-112.5,105.0,52.5,-57.5,-57.5,52.5,120.0,127.5,-132.5,52.5,285.0
3524,1,160.0,-172.5,-172.5,160.0,95.0,102.5,-107.5,102.5,165.0,-177.5,-187.5,102.5,427.5
3525,1,100.0,107.5,-115.0,107.5,50.0,-55.0,55.0,55.0,115.0,130.0,-137.5,55.0,292.5
3526,1,150.0,162.5,-170.0,162.5,82.5,-90.0,-90.0,82.5,160.0,175.0,-177.5,82.5,420.0
3527,1,150.0,160.0,170.0,170.0,80.5,-87.5,-87.5,80.5,150.0,160.0,-167.5,80.5,410.0
3528,1,125.0,135.0,140.0,140.0,70.0,-77.5,-77.5,70.0,127.5,135.0,140.0,70.0,350.0
3529,1,120.0,-127.5,-130.0,120.0,85.0,-90.0,-90.0,85.0,145.0,152.5,157.5,85.0,362.5
3530,1,90.0,97.5,105.0,105.0,37.5,40.0,-45.0,40.0,100.0,110.0,112.5,40.0,257.5
3531,1,112.5,-122.5,130.0,130.0,55.0,57.5,-60.0,57.5,147.5,-155.0,155.0,57.5,342.5
3532,1,-125.0,125.0,-130.0,125.0,55.0,-65.0,-65.5,55.0,125.0,135.0,-140.0,55.0,315.0
3533,1,100.0,-110.0,115.0,115.0,40.0,45.0,-50.0,45.0,115.0,125.0,-130.0,45.0,285.0
3534,1,92.5,105.0,110.0,110.0,-60.0,-67.5,-67.5,,110.0,125.0,140.0,,
3535,1,122.5,130.0,137.5,137.5,65.0,70.0,-75.0,70.0,150.0,160.0,-167.5,70.0,367.5
3536,1,105.0,112.5,120.0,120.0,70.0,75.0,80.0,80.0,117.5,127.5,142.5,80.0,342.5
3537,1,125.0,135.0,140.0,140.0,60.0,65.0,70.0,70.0,140.0,150.0,160.0,70.0,370.0
3538,1,-135.0,140.0,145.0,145.0,62.5,67.5,-70.0,67.5,137.5,150.0,155.0,67.5,367.5
3539,1,160.0,172.5,180.0,180.0,85.0,90.0,-95.0,90.0,160.0,172.5,180.0,90.0,450.0
3540,1,-100.0,100.0,115.0,115.0,65.0,70.0,-75.0,70.0,60.0,,,70.0,245.0
3541,1,-180.0,180.0,195.0,195.0,75.0,82.5,-85.0,82.5,180.0,190.0,-202.5,82.5,467.5
3542,1,140.0,155.0,170.0,170.0,62.5,70.0,77.5,77.5,140.0,152.5,165.0,77.5,412.5
3543,1,100.0,105.0,-110.0,105.0,52.5,-55.0,55.0,55.0,100.0,105.0,107.5,55.0,267.5
3544,1,135.0,142.5,150.0,150.0,65.0,-70.0,70.0,70.0,140.0,150.0,-155.0,70.0,370.0
3545,1,135.0,145.0,150.0,150.0,90.0,95.0,-97.5,95.0,120.0,135.0,-140.0,95.0,380.0
3546,1,120.0,130.0,140.0,140.0,57.5,65.0,-67.5,65.0,135.0,145.0,-152.5,65.0,350.0
3547,1,160.0,-167.5,-167.5,160.0,77.5,82.5,-87.5,82.5,-185.0,185.0,-190.0,82.5,427.5
3548,1,80.0,90.0,100.0,100.0,65.0,-70.0,-70.0,65.0,110.0,120.0,130.0,65.0,295.0
3549,1,140.0,150.0,-160.0,150.0,-65.0,-70.0,-70.0,,135.0,150.0,160.0,,
3550,1,137.5,150.0,155.0,155.0,62.5,70.0,-72.5,70.0,127.5,140.0,147.5,70.0,372.5
3551,1,90.0,95.0,97.5,97.5,52.5,55.0,57.5,57.5,105.0,112.5,120.0,57.5,275.0
3552,1,142.5,157.5,-167.5,157.5,72.5,80.0,-82.5,80.0,142.5,155.0,167.5,80.0,405.0
3553,1,-160.0,160.0,170.0,170.0,77.5,82.5,-85.0,82.5,155.0,167.5,170.0,82.5,422.5
3554,1,-65.0,70.0,75.0,75.0,27.5,30.0,-32.5,30.0,95.0,102.5,110.0,30.0,215.0
3555,1,100.0,-110.0,-112.5,100.0,-42.5,-47.5,47.5,47.5,100.0,-110.0,110.0,47.5,257.5
3556,1,80.0,90.0,95.0,95.0,37.5,42.5,45.0,45.0,105.0,115.0,-120.0,45.0,255.0
3557,1,115.0,-125.0,-125.0,115.0,-70.0,70.0,-75.0,70.0,125.0,132.5,140.0,70.0,325.0
3558,1,165.0,171.0,175.0,175.0,57.5,60.0,-65.0,60.0,156.0,162.5,-172.5,60.0,397.5
3559,1,92.5,102.5,-111.0,102.5,50.0,55.5,-57.5,55.5,100.0,112.5,120.0,55.5,277.5
3560,1,105.0,110.0,-115.0,110.0,57.5,-62.5,-62.5,57.5,135.0,152.5,160.0,57.5,327.5
3561,1,125.0,135.0,140.5,140.5,65.0,70.0,-72.5,70.0,145.0,155.0,172.5,70.0,382.5
